,cls
1075,0
1076,0
1077,0
1078,0
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,0
1087,0
1088,0
1089,1
1090,0
1091,0
1092,1
1093,0
1094,0
1095,1
1096,0
1097,2
1098,2
1099,0
1100,2
1101,2
1102,2
1103,2
1104,2
1105,2
1106,2
1107,2
1108,0
1109,0
1110,0
1111,0
1112,3
1113,3
1114,3
1115,3
1116,2
1117,2
1118,3
1119,3
1120,3
1121,3
1122,3
1123,3
1124,3
1125,3
1126,3
1127,3
1128,3
1129,3
1130,3
1131,3
1132,3
1133,3
1134,3
1135,3
1136,2
1137,3
1138,2
1139,3
1140,3
1141,3
1142,3
1143,0
1144,2
1145,2
1146,1
1147,1
1148,1
1149,0
1150,3
1151,1
1152,1
1153,0
1154,2
1155,2
1156,1
1157,1
1158,2
1159,2
1160,2
1161,2
1162,2
1163,2
1164,2
1165,2
1166,1
1167,1
1168,1
1169,0
1170,2
1171,1
1172,0
1173,2
1174,2
1175,2
1176,0
1177,0
1178,1
1179,1
1180,1
1181,1
1182,1
1183,1
1184,1
1185,2
1186,2
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,2
1194,0
1195,0
1196,2
1197,1
1198,1
1199,2
1200,2
1201,2
1202,2
1203,2
1204,2
1205,2
1206,2
1207,2
1208,2
1209,2
1210,2
1211,2
1212,2
1213,2
1214,2
1215,2
1216,2
1217,2
1218,2
1219,2
1220,2
1221,2
1222,2
1223,2
1224,2
1225,2
1226,2
1227,2
1228,2
1229,2
1230,2
1231,2
1232,3
1233,3
1234,3
1235,3
1236,3
1237,3
1238,3
1239,3
1240,3
1241,3
1242,3
1243,3
1244,3
1245,3
1246,3
1247,3
1248,3
1249,3
1250,3
1251,3
1252,3
1253,1
1254,1
1255,2
1256,2
1257,0
1258,0
1259,2
1260,2
1261,2
1262,2
1263,3
1264,3
1265,3
1266,3
1267,3
1268,2
1269,2
1270,3
1271,0
1272,1
1273,1
1274,2
1275,0
1276,0
1277,0
1278,0
1279,2
1280,2
1281,2
1282,2
1283,2
1284,2
1285,0
1286,0
1287,0
1288,0
1289,0
1290,2
1291,1
1292,1
1293,2
1294,0
1295,2
1296,1
1297,1
1298,1
1299,0
1300,2
1301,3
1302,2
1303,1
1304,2
1305,2
1306,0
1307,2
1308,2
1309,0
1310,1
1311,1
1312,3
1313,1
1314,1
1315,3
1316,3
1317,3
1318,1
1319,1
1320,1
